,clust,Balance,Qual_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll
0,2,28143,0,174,1,0,0,7000
1,2,19244,0,215,2,0,0,6968
2,2,41354,0,4123,4,0,0,7034
3,2,14776,0,500,1,0,0,6952
4,2,97752,0,43300,26,2077,4,6935
5,2,16420,0,0,0,0,0,6942
6,2,84914,0,27482,25,0,0,6994
7,2,20856,0,5250,4,250,1,6938
8,2,443003,0,1753,43,3850,12,6948
9,2,104860,0,28426,28,1150,3,6931
10,2,40091,0,7278,10,0,0,6959
11,2,96522,0,61105,19,0,0,6924
12,2,43382,0,11150,20,0,0,6924
13,2,43097,0,3258,6,0,0,6918
14,2,17648,0,0,0,0,0,6912
15,2,28495,0,49442,15,0,0,6912
16,2,51890,0,48963,16,0,0,6910
17,2,13958,0,4291,5,0,0,6905
18,2,91473,0,27408,17,0,0,6903
19,2,23354,0,10447,5,0,0,6896
20,2,120576,0,58831,23,250,2,6896
21,2,185681,2024,13300,16,1800,9,6896
22,2,20584,0,3450,11,3450,11,6884
23,2,66275,0,2533,11,150,1,6884
24,2,205651,500,4025,21,700,4,7932
25,2,20726,0,1375,4,0,0,7924
26,2,18521,0,1227,2,1227,2,7917
27,2,8828,0,0,0,0,0,7914
28,2,59763,0,33772,20,100,1,7907
29,2,19221,0,4655,8,500,1,7896
30,2,177926,0,20797,13,0,0,7886
31,2,10021,0,0,0,0,0,7879
32,2,276571,0,42044,23,0,0,7872
33,2,18047,0,100,1,0,0,7868
34,2,43832,0,0,0,0,0,7865
35,2,123759,0,50572,23,2500,5,7865
36,2,23193,0,650,4,550,3,7861
37,2,68666,0,350,2,350,2,7861
38,2,59990,0,27878,17,0,0,7854
39,2,2176,0,0,0,0,0,7847
40,2,34616,0,1750,4,500,1,7850
41,2,10470,0,38094,26,0,0,7840
42,2,60313,0,10000,26,3250,9,7829
43,2,619393,0,15008,14,0,0,7819
44,2,121260,0,18493,18,0,0,7808
45,2,288865,967,23600,14,2000,4,6884
46,2,92336,0,11214,6,0,0,6884
47,2,36924,0,5900,6,300,2,6879
48,2,70312,0,34678,24,500,1,6875
49,2,17051,0,1150,4,1150,4,6868
50,2,108137,0,6368,5,6368,5,6844
51,2,1300,0,370,1,0,0,6868
52,2,118531,0,44577,38,0,0,6868
53,2,121395,0,4970,8,650,2,6889
54,2,38348,0,0,0,0,0,6861
55,2,14448,0,1625,6,0,0,6856
56,2,75971,0,34339,14,0,0,6869
57,2,36298,0,3100,5,600,3,6865
58,2,38077,0,34024,8,0,0,6837
59,2,95118,0,23188,23,2200,7,6865
60,2,134457,0,15588,14,0,0,6861
61,2,19918,0,17601,11,0,0,6863
62,2,10120,0,0,0,0,0,6864
63,2,362642,0,28079,8,0,0,6835
64,2,80250,0,895,2,0,0,6833
65,2,53914,0,33767,45,5550,29,6826
66,2,9375,0,1750,7,0,0,6826
67,2,83237,0,35287,18,0,0,6837
68,2,230715,0,24047,12,0,0,6826
69,2,47457,0,12621,16,0,0,7766
70,2,84409,5031,15436,16,1150,4,7766
71,2,252386,0,39787,13,0,0,7787
72,2,550367,0,12500,13,50,1,7801
73,2,12646,0,631,4,631,4,7787
74,2,123867,0,25308,17,0,0,7759
75,2,129871,0,15776,22,0,0,7752
76,2,109380,0,7537,16,0,0,7749
77,2,111157,0,32883,19,0,0,7771
78,2,49238,0,38037,18,0,0,7801
79,2,38896,0,76988,16,556,1,7771
80,2,4340,0,32685,5,0,0,7733
81,2,88443,0,1200,3,1200,3,6837
82,2,8454,0,498,9,0,0,6821
83,2,61990,0,1625,6,0,0,6833
84,2,24093,0,1750,7,0,0,6819
85,2,35418,0,58557,18,900,3,6813
86,2,40284,0,7719,5,0,0,6827
87,2,609477,0,21422,22,1200,8,6820
88,2,62553,0,7672,16,700,1,6819
89,2,48433,0,3500,4,500,1,6807
90,2,20508,0,22250,8,1250,5,6794
91,2,2000,0,2000,4,2000,4,6809
92,2,78629,0,36679,25,0,0,6817
93,2,143566,0,5000,5,1500,3,6785
94,2,185549,0,110859,39,2950,16,6778
95,2,16796,0,2875,16,0,0,6773
96,2,57346,0,5560,23,0,0,6766
97,2,102062,0,44247,16,0,0,6758
98,2,22324,0,1375,4,0,0,6753
99,2,64824,0,20184,13,0,0,6770
100,2,25076,1182,57203,14,0,0,6750
101,2,8053,0,0,0,0,0,6750
102,2,35119,0,0,0,0,0,6749
103,2,28667,0,3861,7,2050,5,6749
104,2,34327,0,0,0,0,0,6745
105,2,3734,0,61096,18,150,2,6760
106,2,96627,1182,49059,26,2300,9,6738
107,2,43498,0,0,0,0,0,6759
108,2,84674,0,46335,14,50,1,6738
109,2,15098,0,32917,26,550,3,6737
110,2,181019,0,18415,15,0,0,7714
111,2,298911,0,8550,11,2550,8,7714
112,2,124198,0,66330,23,4833,10,7710
113,2,56906,0,2015,13,0,0,7707
114,2,295638,0,5422,20,818,2,7700
115,2,67018,0,23260,25,0,0,7698
116,2,143967,0,7346,11,0,0,7689
